Age,Income,Category,Number_of_Purchases,Target,Continuous_Target
30,86098.54,B,8,0,0.91
63,83499.81,C,1,0,0.25
28,52267.86,D,25,1,0.1
45,138339.31,B,29,1,0.32
26,127664.61,B,30,0,0.02
28,71252.82,C,12,0,0.32
27,149285.04,B,8,1,0.01
52,71563.43,D,21,1,0.37
61,138718.09,B,40,0,0.88
33,48807.28,B,32,1,0.66
45,68220.9,D,47,0,0.54
59,68963.11,A,24,1,0.19
52,123967.84,A,1,0,0.34
47,118056.36,D,14,1,0.82
41,146485.73,C,48,0,0.11
42,67063.75,C,42,1,0.94
60,93235.95,D,34,0,0.56
32,50431.35,D,47,0,0.06
60,43476.34,C,2,1,0.65
70,112447.52,D,38,1,0.5
34,111481.03,A,21,0,0.96
65,137479.57,A,49,1,0.32
41,130556.65,C,22,1,0.15
30,87797.78,C,20,0,0.15
53,145630.23,D,23,1,0.43
30,114771.76,B,27,0,0.12
52,46931.18,D,38,0,0.05
53,27789.39,A,35,1,0.92
28,30335.28,A,34,1,0.86
33,147615.79,C,40,0,0.9
21,119018.06,A,1,0,0.67
59,125501.96,B,40,0,0.89
46,77244.63,D,3,0,0.38
36,73566.04,C,40,0,0.71
60,26972.18,A,22,1,0.21
63,141703.82,D,49,0,0.62
37,33432.95,A,28,1,0.69
26,143940.01,D,17,1,0.45
20,46435.93,C,31,1,0.88
31,130293.53,B,21,1,0.91
39,73272.04,D,5,1,0.04
66,20650.99,A,18,0,0.93
53,99220.97,A,31,1,0.48
40,91094.3,A,36,1,0.37
19,143243.69,B,31,1,0.16
22,69334.93,B,15,1,0.99
55,107552.36,D,39,0,0.72
58,134954.82,C,43,1,0.71
19,133356.49,D,31,1,0.81
55,31159.14,A,41,1,0.01
31,117014.58,D,38,0,0.79
56,38898.45,B,14,1,0.32
37,142242.0,D,3,0,0.66
22,27086.7,C,24,0,0.66
69,75694.93,D,18,1,0.4
57,135154.86,A,1,1,0.54
33,96178.58,C,33,1,0.14
32,37056.81,C,50,0,0.45
63,83660.09,B,26,0,0.97
51,102798.99,A,38,1,0.85
57,129447.5,C,49,1,0.63
34,104928.04,A,41,0,0.64
24,80398.53,D,7,0,0.78
31,43951.74,B,35,1,0.98
37,65484.74,B,39,1,0.83
43,99621.98,D,6,1,0.83
44,80303.02,B,23,0,0.22
37,132347.42,A,12,0,0.95
18,80732.6,C,9,0,0.61
61,65024.59,C,21,0,0.75
59,84293.71,C,12,0,0.21
56,98092.03,B,42,0,0.77
57,100180.24,D,40,0,0.9
57,92452.59,D,16,1,0.18
63,145923.64,B,23,1,0.17
58,148351.51,B,2,1,0.76
48,22626.04,C,19,1,0.92
45,102144.42,D,13,1,0.61
46,127420.27,A,43,1,0.44
22,125394.96,A,10,0,0.81
61,46298.78,B,45,0,0.28
33,80689.97,C,10,1,0.55
47,149157.89,B,26,1,0.75
58,41340.01,B,48,0,0.78
62,128800.59,C,2,0,0.37
19,51106.75,D,32,1,0.02
41,113287.24,B,23,0,0.28
64,110495.09,C,46,1,0.74
39,145354.79,B,6,1,0.83
57,58959.34,A,42,0,0.79
56,35367.6,D,9,0,0.78
36,88180.93,A,4,0,0.68
51,84169.69,D,48,1,0.98
35,87858.84,A,46,1,0.33
37,72414.08,D,12,0,0.73
36,107591.4,C,29,1,0.85
66,99833.6,A,30,1,0.97
68,117251.37,B,26,1,0.98
48,80376.8,C,39,1,0.53
19,125951.67,A,15,0,0.38
68,28247.39,B,7,1,0.82
33,105116.4,B,48,0,0.55
27,85356.94,D,45,1,0.64
42,119837.41,C,34,0,0.77
49,103006.36,A,1,0,0.34
57,131846.11,A,6,0,0.6
53,80276.52,C,2,0,0.61
33,59666.95,C,38,1,0.57
57,83349.86,A,23,0,0.66
43,68624.95,C,41,1,0.86
33,59720.8,D,34,1,0.66
47,141759.59,A,13,1,0.86
63,127781.85,C,48,0,0.86
35,133797.46,C,44,0,0.96
20,77089.36,B,19,0,0.76
29,41157.61,B,18,1,0.53
65,131893.1,C,42,0,0.49
46,93198.34,D,5,0,0.52
47,109098.48,D,3,1,0.21
20,79227.05,B,4,1,0.7
52,91031.12,A,49,1,0.76
63,99553.74,A,11,0,0.88
60,108283.81,C,18,0,0.49
68,114689.38,B,39,0,0.15
41,35704.2,C,31,0,0.7
62,145795.86,B,30,1,0.76
70,126211.88,D,25,0,0.16
29,137013.04,A,47,0,0.99
26,61470.32,D,43,1,0.34
24,90956.53,D,1,0,0.23
42,69283.07,A,25,0,0.62
38,112990.87,B,46,0,0.54
24,56695.5,B,18,1,0.67
63,20085.14,C,8,0,0.26
42,105119.9,B,34,1,0.43
61,56286.73,C,37,0,0.65
69,62925.56,D,45,0,0.4
20,122128.16,A,41,1,0.1
25,57989.7,D,46,0,0.09
57,121243.56,B,11,0,0.9
50,148676.6,D,35,1,0.27
18,46237.77,D,18,0,0.84
43,83405.09,A,36,0,0.24
38,96168.14,B,25,0,0.71
58,99989.0,B,13,0,0.08
29,31054.37,B,46,1,0.34
68,53879.84,C,25,0,0.06
45,27749.04,C,30,1,0.1
23,99023.31,B,18,0,0.04
64,47298.39,D,16,0,0.42
24,143828.59,A,6,0,0.94
33,64452.58,A,25,1,0.52
26,148585.88,D,31,0,0.16
63,44858.28,B,40,1,0.06
55,56175.92,D,47,1,0.21
65,49661.61,C,10,1,0.81
50,20948.73,C,30,1,0.87
26,39418.93,C,29,1,0.55
65,48373.5,B,31,0,0.18
44,61129.73,D,50,0,0.73
68,82367.52,B,41,0,0.58
50,53231.28,A,21,1,0.99
57,77481.01,B,40,1,0.14
44,100303.35,A,36,0,0.41
31,42937.45,C,28,0,0.59
40,90011.98,D,6,1,0.11
38,77129.88,C,8,0,0.96
27,63028.97,A,33,1,0.04
45,105667.48,A,20,1,0.83
54,129192.74,C,36,1,0.23
45,57715.51,A,11,1,0.23
29,53811.03,A,17,1,0.65
45,86772.07,A,27,1,0.29
48,134966.88,B,46,0,0.24
29,59225.75,A,16,1,0.01
67,102836.26,B,15,0,0.88
62,28783.48,D,1,0,0.77
54,50145.07,A,34,1,0.51
41,71018.57,A,5,0,0.84
39,110524.51,D,47,1,0.51
25,22714.47,D,29,1,0.53
51,101273.82,B,48,1,0.82
58,138279.11,D,6,0,0.44
26,90824.78,A,9,1,0.72
54,27865.89,A,32,0,0.34
28,90068.04,D,17,0,0.07
33,91235.8,C,12,0,0.91
30,112463.89,B,7,0,0.17
58,109416.08,A,49,0,0.98
29,104902.19,B,16,1,0.97
35,29058.33,C,7,0,0.63
32,46032.7,B,42,1,0.72
37,114698.16,C,28,1,0.03
45,140319.92,A,42,0,0.69
69,140955.2,B,49,0,0.65
34,28407.77,C,43,1,0.46
42,127070.04,B,28,0,0.59
21,55282.62,A,8,1,0.62
24,100725.82,A,22,1,0.72
51,129241.68,B,18,0,0.52
34,126425.48,C,24,0,0.87
39,33878.8,A,1,0,0.86
59,142083.52,B,41,1,0.88
29,128245.5,B,11,1,0.69
65,129063.16,D,50,0,0.82
29,74038.02,D,23,0,0.65
19,99214.34,B,2,1,0.67
57,55502.46,C,13,1,0.59
39,126688.34,A,45,1,0.81
33,29866.86,B,17,1,0.32
49,99249.15,D,7,1,0.65
58,109928.06,B,16,0,0.6
44,131414.26,A,34,0,0.8
27,40467.53,A,33,1,0.72
45,48983.81,A,44,0,0.79
46,86476.93,A,5,1,0.97
31,130330.97,B,35,0,0.37
65,105670.62,D,5,1,0.67
21,73521.84,C,24,0,0.47
37,149548.11,C,28,0,0.79
20,55837.13,B,30,1,0.74
66,117461.94,D,40,0,0.41
22,97891.24,B,22,1,0.23
68,136241.27,B,6,1,0.34
34,129884.18,C,45,1,0.17
23,118206.35,D,19,1,0.44
37,67171.95,B,26,0,0.63
30,135110.45,C,28,0,0.28
62,128686.03,C,38,1,0.56
32,134069.45,B,6,0,0.57
19,123506.45,A,34,0,0.45
56,130544.42,B,27,0,0.72
48,67755.35,B,17,0,0.9
55,87431.19,C,17,0,0.29
37,127482.33,D,15,0,0.53
68,69573.35,C,34,1,0.06
23,106137.07,B,21,0,0.16
70,84443.9,D,37,0,0.45
36,130641.55,A,6,1,0.15
64,106574.22,B,23,1,0.66
43,48700.23,B,39,0,0.72
69,125232.88,B,12,0,0.74
50,73485.86,B,23,0,0.23
50,46617.92,C,10,0,0.81
54,54973.0,B,37,0,0.86
49,127581.85,C,11,0,0.47
18,92417.92,D,10,0,0.19
43,79596.4,B,47,1,0.98
28,25334.33,B,34,1,0.18
62,107794.34,D,22,1,0.39
44,114688.41,B,47,1,0.1
50,143755.08,B,29,1,0.44
42,74257.62,D,23,1,0.99
31,77201.58,C,15,0,0.1
26,68118.56,A,34,1,0.87
50,127263.23,A,31,1,0.25
65,74292.31,C,21,0,0.04
62,146050.34,D,34,0,0.18
25,41650.26,B,37,1,0.1
63,70696.75,B,37,1,0.07
20,93588.14,A,40,0,0.88
38,63233.07,C,39,1,0.43
25,138327.07,A,23,1,0.02
38,80508.56,B,39,0,0.52
18,137840.21,A,29,0,0.16
20,24095.85,A,6,1,0.61
68,118943.46,C,18,1,0.04
23,112419.68,B,31,1,0.43
42,47511.16,D,10,0,0.96
47,103414.73,A,45,0,0.84
48,117242.25,C,16,1,0.38
64,94861.26,B,46,1,0.95
42,99909.24,D,49,0,0.04
52,28891.37,B,42,1,0.28
46,101712.47,C,35,0,0.49
62,37737.99,B,42,1,0.2
20,85081.09,C,46,0,0.97
68,82032.68,B,10,0,0.62
47,111269.88,A,16,1,0.36
58,46248.56,C,16,0,0.06
66,97335.47,C,8,0,0.96
55,74973.86,D,5,0,0.26
18,69184.19,D,21,1,0.38
24,104392.36,A,15,0,0.16
30,81008.22,D,34,0,0.7
63,42334.99,A,22,0,0.22
45,99387.29,B,11,1,0.13
45,145570.74,C,29,0,0.02
66,128294.62,D,5,0,0.75
25,82715.89,D,46,0,0.38
51,82208.36,A,9,1,0.27
28,81559.54,A,9,0,0.06
52,82918.94,D,44,0,0.72
20,67041.04,A,31,1,0.51
18,100537.43,A,2,1,0.94
19,32461.71,A,13,1,0.45
44,70237.4,D,32,1,0.94
38,70401.77,B,27,0,0.47
22,23214.88,C,23,1,0.19
38,83474.43,B,49,0,0.41
55,71128.44,D,30,0,0.11
65,87073.01,A,30,1,0.97
28,84194.12,C,8,1,0.94
47,80009.91,B,39,1,0.65
64,75690.78,D,22,1,0.9
34,71388.19,B,35,0,0.21
58,23037.61,A,27,1,0.89
65,143574.65,C,23,1,0.6
35,73298.34,A,1,1,0.79
51,138791.52,C,4,0,0.34
68,41714.84,B,37,1,0.81
62,31255.67,D,48,1,0.61
47,22384.17,D,2,0,0.6
59,79683.86,B,4,0,0.27
41,84806.6,B,42,1,0.58
59,84829.34,B,16,0,0.41
53,141081.28,A,18,1,0.19
47,58573.73,C,9,1,0.45
22,144967.18,D,23,0,0.16
61,60903.08,D,36,0,0.29
53,29912.16,C,7,0,0.82
28,83952.45,D,2,1,0.74
42,76452.9,C,20,1,0.68
51,130092.65,D,23,0,0.29
46,41455.98,A,37,1,0.37
32,131154.79,A,11,0,0.67
19,97556.48,D,38,1,0.55
58,97374.24,C,7,0,0.98
52,53291.11,D,37,1,0.19
51,71587.88,A,16,1,0.41
28,22995.56,B,35,1,0.09
28,35484.51,B,21,0,0.7
62,132980.59,A,8,0,0.5
49,109084.07,D,7,0,0.79
62,48991.76,A,45,0,0.23
38,130437.99,A,22,0,0.45
50,24191.18,A,34,0,0.76
32,53549.57,D,25,1,0.81
43,140669.51,A,41,1,0.33
48,115193.02,D,21,1,0.56
50,83930.68,C,17,0,0.58
40,145464.93,B,15,0,0.45
26,29558.65,A,18,0,0.35
40,38453.71,A,41,0,0.78
32,149357.97,D,13,0,0.56
25,145345.9,C,15,1,0.63
63,125984.85,B,4,1,0.69
65,96810.76,B,39,1,0.64
57,63190.91,D,4,0,0.29
55,142796.34,C,49,0,0.56
51,95776.65,B,31,1,0.93
23,50513.33,A,46,0,0.49
68,70128.82,D,42,0,0.44
44,80987.15,D,34,1,0.51
53,137501.88,B,46,0,0.97
68,78755.86,B,30,1,1.0
31,53347.99,C,28,0,0.95
67,95427.55,B,39,1,0.25
29,88962.26,C,34,0,0.3
32,139816.1,B,40,1,0.14
18,69683.95,A,33,0,0.84
57,132652.8,A,21,0,0.32
18,139987.78,C,50,1,0.45
24,140238.24,D,16,0,0.19
26,139742.95,C,23,0,0.27
48,106609.05,C,49,1,0.01
31,58201.24,C,32,1,0.78
21,48237.74,A,48,0,0.51
24,50091.93,C,32,1,0.47
24,26980.45,D,14,1,0.21
50,147457.89,B,28,0,0.24
55,79032.76,A,45,1,0.54
26,112339.75,C,19,1,0.63
48,74986.26,B,27,1,0.14
62,70108.47,D,2,0,0.62
54,113947.89,C,46,1,0.59
22,105395.74,B,6,1,0.55
54,63828.11,D,1,1,0.11
46,21382.39,C,33,1,0.68
68,82422.7,D,3,0,0.72
41,30632.62,C,5,1,0.36
40,49212.99,B,39,1,0.64
23,25254.33,D,10,1,0.99
55,122796.07,D,42,1,0.68
40,139511.54,B,37,0,0.69
51,104728.16,D,7,0,0.77
28,50901.22,A,32,1,0.61
32,97546.73,C,43,0,0.05
36,43203.83,B,25,1,0.74
25,20721.98,B,12,1,0.32
30,99176.04,A,40,0,0.12
60,103993.91,B,31,0,0.61
23,100470.85,C,20,1,0.85
45,81742.42,C,13,0,0.73
43,124328.1,D,13,0,0.86
48,119530.09,A,21,1,0.35
20,28655.51,D,28,1,0.63
37,143778.11,C,45,0,0.41
36,24703.69,D,19,0,0.28
70,66650.02,C,5,1,1.0
70,69993.08,A,39,0,0.52
54,38106.28,A,3,0,0.88
48,65424.31,B,13,1,0.16
53,132969.8,A,31,0,0.24
42,35142.28,A,45,1,0.36
58,41607.53,C,12,0,0.79
25,34160.03,B,32,0,0.5
21,76311.66,D,3,1,0.27
47,127356.86,A,6,1,0.13
32,112695.63,B,29,1,0.4
49,113228.92,B,32,0,0.98
46,111985.84,D,11,1,0.61
67,27475.99,B,34,1,0.84
55,131352.15,C,32,0,1.0
61,63597.78,B,3,0,0.17
56,111866.51,B,23,1,0.24
21,70057.56,B,24,1,0.41
21,62593.91,A,7,0,0.31
20,91552.36,B,34,1,0.4
59,54383.67,D,13,1,0.47
39,98811.49,B,31,0,0.2
18,105273.84,A,41,1,0.15
49,102479.79,D,37,1,0.49
44,63966.84,C,41,0,0.8
40,149315.31,D,34,1,0.15
67,23809.54,A,20,0,0.67
27,108557.32,D,35,0,0.43
18,68797.09,B,44,1,0.34
45,115086.58,D,1,1,0.24
61,24973.25,D,21,0,0.12
33,40432.98,C,20,1,0.41
25,95724.93,A,15,0,0.81
23,66364.94,B,13,0,0.76
36,85017.92,D,21,0,0.17
70,99413.27,B,39,1,0.3
44,143824.48,B,17,0,0.45
54,136472.38,D,39,0,0.6
44,70213.09,A,41,1,0.17
35,89343.47,D,39,1,0.04
35,93406.74,D,10,0,0.11
35,117753.1,B,27,1,0.25
61,116907.62,D,3,0,0.98
39,127127.95,C,1,1,0.71
43,109348.39,D,46,0,0.84
38,143126.99,A,23,0,0.61
36,79635.55,A,8,0,0.82
53,138493.28,C,17,0,0.91
46,117772.37,A,22,1,0.8
53,127843.13,A,32,0,0.45
44,51388.74,B,44,0,0.01
44,82485.0,D,14,1,0.64
21,149743.77,C,13,0,0.39
20,52618.96,A,40,1,0.82
39,37091.92,B,19,0,0.22
69,55723.32,B,47,1,0.73
36,99534.89,B,24,0,0.59
46,37360.17,A,37,1,0.26
43,23808.56,D,48,0,0.09
57,62573.75,C,39,0,0.74
28,110939.23,C,34,1,0.77
38,107924.68,D,32,0,0.45
68,87948.85,D,6,0,0.3
20,139284.13,D,25,0,0.24
31,113785.27,B,28,0,0.41
66,96018.54,B,4,1,0.24
41,65049.79,D,19,1,0.86
50,122785.32,B,27,1,0.04
29,141715.36,A,2,0,0.83
43,134972.38,A,30,0,0.58
18,129776.78,D,13,1,0.03
23,51018.95,D,1,1,0.12
55,129432.18,B,14,1,0.13
18,118515.68,B,49,1,0.36
19,139966.17,D,23,0,0.42
26,51510.15,A,18,0,0.22
40,78961.92,D,37,0,0.21
48,118427.38,B,24,0,0.67
51,49542.19,C,47,0,0.53
59,73155.47,A,25,0,0.87
70,44788.94,B,6,0,0.0
58,74926.85,D,23,0,0.02
31,129914.63,B,3,0,0.59
39,56108.23,A,5,0,0.91
27,60372.68,A,40,0,0.92
24,41495.14,A,42,1,0.75
41,29036.32,D,36,0,0.01
29,82930.76,A,27,1,0.79
38,84153.74,A,3,1,0.83
54,83549.37,B,13,0,0.19
35,27256.45,C,49,0,0.1
67,60258.45,C,25,0,0.38
68,58296.77,B,11,0,0.97
68,145452.22,D,23,0,0.71
44,140061.56,C,38,1,0.45
22,65520.38,D,24,1,0.39
60,118796.28,C,3,0,0.12
59,140351.28,C,35,1,0.18
51,137561.77,D,15,0,0.65
68,78382.62,A,33,1,0.68
59,136146.67,A,23,0,0.85
21,33617.53,B,18,0,0.68
58,93696.38,B,11,0,0.29
19,27863.82,D,3,1,0.06
45,81277.78,B,15,0,0.54
32,84800.14,D,11,1,0.01
32,77799.89,B,25,0,0.94
36,98329.13,D,15,0,0.99
65,53205.67,D,27,1,0.96
52,59188.07,B,30,1,0.57
32,31970.33,C,12,0,0.53
64,34365.68,D,33,1,0.53
30,54932.56,B,48,0,0.31
33,43561.98,C,1,1,0.26
47,135705.48,C,10,1,0.1
18,86153.53,D,49,0,0.1
53,101514.44,A,34,0,0.2
27,109599.36,C,25,0,0.71
60,62385.94,C,24,0,0.56
58,137294.3,A,27,0,0.32
57,21170.58,A,44,1,0.32
58,148506.5,B,2,0,0.6
36,43486.56,D,10,1,0.57
62,114998.0,B,48,0,0.11
43,56905.77,B,34,0,0.41
70,40351.45,A,22,0,0.18
39,141483.18,D,40,0,0.93
29,64931.25,D,47,0,0.63
33,23693.46,A,39,1,0.04
23,81263.8,D,31,0,0.17
34,33423.1,C,17,0,0.22
45,87682.48,D,5,1,0.79
54,115768.81,B,21,0,0.46
32,59939.8,C,8,1,0.63
52,88073.33,B,41,1,0.45
26,108062.37,C,38,1,0.16
33,66698.57,D,30,0,0.69
62,70604.17,A,24,1,0.93
63,75099.64,A,11,0,0.39
37,92636.25,C,49,0,0.1
48,135950.29,C,44,0,0.1
18,81118.11,D,28,0,0.12
59,23958.56,A,32,1,0.71
27,87406.35,C,8,1,0.82
18,42316.26,B,38,0,0.91
59,25826.79,D,39,0,0.41
53,69854.01,B,13,1,0.08
54,99771.68,A,3,1,0.65
35,126508.59,A,12,1,0.31
40,147659.25,C,50,0,0.86
44,36759.9,C,1,0,0.44
43,93849.67,D,48,0,0.36
67,106346.92,D,7,0,0.42
37,42279.0,C,26,0,0.19
41,107359.3,B,2,0,0.61
55,57924.97,A,16,1,0.62
69,104318.88,A,12,1,0.12
42,114586.5,D,50,0,0.19
44,80052.57,D,11,0,0.39
20,28401.98,A,15,1,0.06
36,85586.39,A,14,1,0.14
21,41377.27,A,35,1,0.29
39,100063.46,D,45,1,0.92
50,74362.99,B,46,0,0.11
39,141346.57,A,9,1,0.77
36,81624.54,A,45,1,0.12
61,144095.28,C,45,0,0.42
42,70676.76,D,17,1,0.53
32,74912.61,D,45,0,0.5
68,24583.67,A,41,1,0.32
61,65400.35,C,13,0,0.53
38,145406.54,B,43,1,0.18
60,128953.58,B,24,1,0.21
18,81913.33,B,1,1,0.42
42,65949.38,C,12,0,0.91
21,134840.0,D,31,0,0.82
33,127052.24,D,35,0,0.01
65,138097.24,B,21,0,0.12
50,89225.1,A,34,0,0.88
49,126296.71,A,42,0,0.67
30,77980.9,C,47,1,0.96
51,131204.3,D,42,0,0.88
20,61455.93,C,42,0,0.46
38,24755.57,C,3,0,0.92
29,127404.69,C,31,0,0.04
63,142457.73,D,35,0,0.93
49,55927.79,D,45,1,0.25
51,33699.53,D,20,0,0.85
65,143276.81,C,38,0,0.22
41,117186.92,B,43,1,0.34
34,48486.23,D,47,1,0.1
62,144697.1,C,8,0,0.51
23,36935.13,A,22,1,0.51
44,106567.8,D,1,0,0.46
25,78622.96,A,23,1,0.04
30,67434.22,B,41,1,0.47
70,34748.8,C,12,0,0.8
51,142906.67,C,13,0,0.7
38,44339.79,B,35,0,0.78
65,72860.54,B,17,0,0.89
21,116284.95,A,21,0,0.03
34,106001.74,D,43,1,0.88
28,113584.2,A,2,1,0.84
29,25926.49,C,9,1,0.8
67,108506.89,B,11,0,0.23
19,109809.97,D,12,0,0.44
55,83022.01,B,28,0,0.76
24,73947.14,D,15,0,0.77
51,89930.35,C,29,1,0.55
62,52499.4,B,40,1,0.72
50,38499.81,A,47,0,0.11
19,100709.69,A,24,1,0.79
64,96726.86,C,15,0,0.52
33,139565.99,A,4,0,0.82
66,87981.45,C,34,0,0.14
62,139195.41,C,9,1,0.1
55,124060.06,A,41,0,0.48
23,147084.63,C,32,0,0.18
67,121826.6,A,29,0,0.04
46,41764.02,C,19,1,0.79
38,131494.37,C,7,0,0.96
29,86266.67,B,47,0,0.18
51,50485.65,B,19,1,0.58
69,137531.04,A,33,0,0.48
34,127379.37,D,34,1,0.62
58,102806.87,B,2,0,0.3
40,80404.8,B,1,1,0.53
23,72948.21,C,47,0,0.03
32,145880.71,B,50,1,0.77
57,142991.32,B,36,0,0.31
46,22855.82,C,42,0,0.58
66,101931.03,D,45,0,0.34
57,109466.22,C,39,1,0.51
38,43262.42,D,26,1,0.34
52,141681.24,A,12,0,0.14
64,56212.32,A,10,0,0.83
59,133764.74,B,42,1,0.94
54,129668.46,B,35,1,0.88
37,113569.35,B,15,1,0.4
18,126226.2,D,23,1,0.5
70,71028.94,A,11,1,0.23
66,85177.72,B,34,0,0.34
20,44123.19,D,15,0,0.18
27,142450.36,C,43,1,0.07
51,52565.05,C,47,0,1.0
38,58300.65,A,8,0,0.63
38,72643.64,C,32,1,0.72
70,104045.83,C,8,1,0.72
43,64376.6,B,30,0,0.1
18,34488.53,A,24,1,0.92
35,22892.01,D,18,1,0.6
32,127000.68,C,26,1,0.02
67,101321.72,B,26,0,0.35
66,141826.08,D,24,0,0.43
20,86729.84,A,38,1,0.44
27,43961.02,A,26,0,0.26
24,61447.54,B,35,1,0.68
31,61449.86,D,7,1,0.8
19,95865.65,B,38,0,0.79
62,69959.16,B,32,1,0.05
50,30918.77,C,15,1,0.92
67,79802.31,C,6,1,0.47
46,20569.79,D,20,0,0.24
29,123990.65,A,39,0,0.57
48,91688.22,B,7,0,0.86
19,25204.22,C,37,0,0.41
43,64457.92,D,9,0,0.29
70,63850.63,D,50,0,0.56
23,56803.56,C,38,1,0.9
34,38199.91,A,42,1,0.55
54,105188.42,D,20,1,0.21
19,72442.46,D,50,0,0.2
41,61560.15,D,41,0,0.72
26,104515.71,C,12,0,0.9
49,45784.39,D,38,0,0.28
29,84571.66,B,6,0,0.53
36,33675.93,B,12,0,0.52
68,97428.27,C,11,1,0.78
48,124729.96,C,50,1,0.03
31,38126.16,D,19,0,0.24
34,60083.56,D,14,0,0.37
25,149352.15,C,49,0,0.0
32,27995.01,D,29,0,0.66
43,46509.64,A,10,0,0.74
60,105404.67,D,32,1,0.74
27,68167.17,B,13,1,0.27
47,96875.95,D,22,0,0.98
56,149962.61,D,7,0,0.99
70,79531.07,D,41,0,0.88
32,149336.53,D,15,0,0.29
61,54022.83,C,18,0,0.86
56,104793.46,B,13,1,0.32
19,21806.01,C,2,1,0.31
25,30769.38,D,23,1,0.68
23,23226.7,A,27,0,0.92
66,106342.63,B,29,0,0.8
65,68899.34,B,20,1,0.02
28,40199.41,D,12,0,0.09
45,98850.15,D,12,1,0.33
64,87800.25,A,9,0,0.91
39,133157.81,D,41,0,0.71
66,60104.24,A,26,1,0.1
31,130037.72,A,10,1,0.63
67,103878.01,C,10,0,0.3
54,74995.52,B,22,1,0.51
22,110482.62,D,2,1,0.1
22,59754.39,A,33,0,0.91
